,name,url,loca,entre,info
14,Beep Saúde,http://beepsaude.com.br/,Endeavor Brazil ,          Vander Corteze ,"Beep Saúde is Brazil’s premier digital vaccination-on-demand platform.
"
15,Bending Spoons,https://bendingspoons.com/,Endeavor Italy ,"          Francesco Patarnello  ,           Matteo Danieli  ,           Luca Querella ,           Luca Ferrari  ","Bending Spoons is a mobile app development company that has built several of the most downloaded apps worldwide.
"
16,Betterfly,https://gobetterfly.com/,Endeavor Chile ,"          Eduardo Della Maggiora ,           Cristóbal Della Maggiora ","Betterfly is a Chilean insurtech and corporate wellness platform that rewards employees for healthy lifestyle habits with life insurance coverage, as well as a platform to donate to high-impact causes.
"
17,BillGO,http://www.billgo.com,Endeavor Colorado ,"          Kelly Seidl ,           Dan Holt ","BillGO’s award-winning real-time bill management & payments platform transforms the dreaded necessity of managing & paying bills into an opportunity for financial well-being. 
"
18,Bitso,https://bitso.com/,Endeavor Mexico ,"          Daniel Vogel ,           Ben Peters ,           Pablo Gonzalez ","Bitso is a digital crypto currency exchange in Latin America.
"
19,Bloomscape,http://www.bloomscape.com,Endeavor Detroit ,          Justin Mast ,"Bloomscape is a direct-to-consumer plant brand, offering a contemporary e-commerce shopping experience tailored to customers.
"
20,blueground,https://www.theblueground.com,Endeavor Greece ,          Alexandros Chatzieleftheriou  ,"Blueground is a technology-enabled property management company operating in the corporate housing rental market.
"
21,Brex,http://www.brex.com.br,Endeavor Brazil ,          Henrique Dubugras  ,"BREX provides businesses with a seamless corporate credit card and cash management financial software.
"
22,Brimore,http://www.brimore.com,Endeavor Egypt ,"          Ahmed Sheikha ,           Mohamed Abdulaziz ","Brimore utilizes direct social commerce on a parallel distribution platform which allows local suppliers to sell their products through a network of individual distributors.
"
23,Bukalapak,https://www.bukalapak.com/,Endeavor Indonesia ,"          Achmad Zaky ,           Fajrin Rasyid ","Bukalapak is an Indonesian consumer-to-consumer (“C2C”) e-commerce marketplace. The founders left the company in 2020. Achmad is building his own investment arm, Init-6 Fund, while Fajrin became Telkom’s Director of Digital Business.
"
24,BY FAR,http://www.byfar.com,Endeavor Bulgaria ,"                    Denitsa Bumbarova                    ,           Valentina Ignatova  ,           Sabina Gyosheva ","BY FAR is a designer accessories brand that reimagines timeless silhouettes for the city girl. 
"
25,Cabify,https://cabify.com/,Endeavor Spain ,          Juan De Antonio ,"Spain’s first unicorn, Cabify is a mobility platform and ridesharing company, serving customers and drivers in Latin America and Spain. 
"
26,Cameo,http://www.cameo.com,"Endeavor Detroit , Endeavor Greece , Endeavor Miami ","          Devon Townsend ,           Steven Galanis ","Cameo is an online marketplace that connects fans directly with their favorite pop culture icons via personalized video messages, live calls, and direct messages. The company achieved unicorn status in 2021.
"
27,Careem,http://www.careem.com,Endeavor UAE ,"          Magnus Olsson ,           Mudassir Sheikha ,           Abdulla Elyas ","Careem is a mobility and ride-hailing platform in the MENA region. It was acquired by Uber for $3.1B in 2020.
"
28,Carro,http://www.carro.sg/,Endeavor Indonesia ,          Aaron Tan  ,"Carro is a marketplace for used cars, offering a full-stack service for car ownership.
"
29,Carsome,https://www.carsome.my/,Endeavor Malaysia ,          Eric Cheng ,"Carsome offers a fast, fair, and free car selling service with full transparency through a one-stop online auction platform. In 2021, Carsome became Malaysia’s first technology unicorn.
"
30,Casavo,http://www.casavo.com,Endeavor Italy ,"          Francesco Dominiato  ,           Francesco Fama  ,           Giorgio Tinacci ,           Giuseppe Caputo ","Casavo is a PropTech company providing a technological platform (Instant Buyer) that submits direct offers to buy homes, and after renovation, finds the final buyers.
"
31,Chari,https://chari.co/,Endeavor Morocco ,"          Ismael Belkhayat ,           Sophia Alj ","Chari is a B2B e-commerce app that connects traditional retailers to FMCG suppliers, providing a greater selection of goods (>600 SKUs), competitive prices, 24-hour delivery and free returns, as well as financial services including bookkeeping and closed-loop credit.
"
32,Checkout.com,https://www.checkout.com/,Endeavor UAE ,          Guillaume Pousaz ,"Checkout.com provides the fastest, most reliable payments in more than 150 currencies, with in-country acquiring, world-class fraud filters and reporting through one API.
"
33,Chiper,https://chiper.co/,Endeavor Colombia ,"          Carolina Garcia ,           Oscar Sarria ,           Jose Bonilla  ","Chiper is a platform that enables growth of corner stores in Latin America through technology. 
"
34,Clara,https://www.clara.cc/,Endeavor Mexico ,"          Gerry Giacomán Colyer ,           Diego Iván García Escobedo ","Clara is an end-to-end corporate spend management solution for growing businesses in Latin America.
"
35,ClearSale,http://www.clear.sale/,Endeavor Brazil ,"          Bernardo Lustosa ,           Pedro Paulo Chiamulera ","ClearSale is a fraud prevention solution that helps protect e-commerce merchants against chargebacks. The company went public on B3 in July 2021.
"
36,Clicars.com,https://www.clicars.com/,Endeavor Spain ,"          Carlos Rivera ,           Pablo Fernandez  ","Clicars is an e-commerce platform for buying used cars hassle-free.
"
37,Clickatell,http://www.clickatell.com,Endeavor South Africa ,          Pieter de Villiers ,"Clickatell powers chat commerce by helping brands engage, interact, and transact with customers through popular messaging channels, such as SMS, WhatsApp, and Facebook Messenger.
"
38,Clikalia,https://clikalia.com/mx,Endeavor Spain ,                    Alister Moreno                    ,"Clikalia is a Spanish startup that is changing the real estate market by offering the fastest, easiest and most transparent way to buy and sell apartments at the best price. Its pricing algorithm calculates a fair price and makes an offer in 24 hours, allowing home sellers to receive cash in as little as seven days.
"
39,Clip,https://clip.mx/,Endeavor Mexico ,          Adolfo Babatz ,"Clip enables businesses of all sizes to accept payments by credit/debit card. 
"
40,Coderhouse,https://us.coderhouse.com/,Endeavor Argentina ,          Christian Patiño ,"Coderhouse provides live, online cohort-based courses for technology professionals at an affordable price. Nowadays, there are not enough trained people to fill all the jobs that require technical skills in Latin America and globally.
"
41,Colvin,https://www.thecolvinco.com/es,Endeavor Spain ,"          Andres Céster ,           Sergi Bastardas ","Colvin was born to build a more efficient, sustainable, and fair future for the floriculture industry by building a new digital ecosystem that connects growers, wholesalers, florists, and clients in a better way. 
"
42,Commencis,https://www.commencis.com/,Endeavor Turkey ,          Fırat İşbecer ,"Commencis builds digital transformation solutions for old world companies, including analytics, clouds and big data.
"
43,CookUnity,https://www.cookunity.com/,Endeavor Argentina ,          Mateo Marietti ,"CookUnity is an online food delivery platform that provides a wide range of chef-special cuisines prepared using farm-fresh ingredients by chefs who rotate dishes every week, enabling food lovers to order meals from independent chefs online.
"
44,Cornershop,https://cornershopapp.com/,Endeavor Chile ,"          Oskar Hjertonsson  ,           Daniel Undurraga  ","Cornershop is an on-demand grocery delivery service for Latin America. The company was acquired by Uber in 2020.
"
45,Credimi,http://www.credimi.com,Endeavor Italy ,"          Ignazio Rocco di Torrepadula ,           Sabino Costan  ","Credimi is an Italy-based digital factoring platform that streamlines every aspect of the trade-receivable funding process.
"
46,Creditas,https://www.creditas.com.br/,Endeavor Brazil ,          Sergio Furio  ,"Creditas is a digital secured lending platform that offers lending, investment, and financing services at lower interest rates. 
"
47,Crehana,https://www.crehana.com/,Endeavor Peru ,          Diego Olcese ,"Crehana is an online training platform providing affordable and project-based learning for creative and digital professionals in Latam and Spain.
"
48,CyberGRX,https://www.cybergrx.com/,Endeavor Colorado ,          Fred Kneip ,"CyberGRX provides enterprises and their third parties with cybersecurity and risk management software. 
"
49,D-Orbit,http://www.deorbitaldevices.com/,Endeavor Italy ,"          Renato Panesi ,           Luca Rossettini ","D-Orbit is a satellite technology provider for the traditional and new space sectors. It develops and supplies launching, decommissioning, and life extension devices to help satellite operators and agencies manage the end of their satellite’s life.
"
50,Daystar Power,https://www.daystar-power.com/,Endeavor Nigeria ,"          Christian Wessels ,           Jasper Graf von Hardenberg ","Daystar Power provides solar power and energy efficiency solutions for West African businesses in the commercial, industrial, and agricultural sectors, resulting in significant reduction of power costs, diesel consumption and pollution.
"
51,DGPays,https://dgpays.com/,Endeavor Turkey ,          Serkan Omerbeyoglu ,"DGPays is a Fintech software solutions provider with multiple product and platform solutions such as payment gateways & services, ATM, Card, & POS solutions, and more.
"
52,dLocal,http://www.dlocal.com/,Endeavor Uruguay ,"          Andres Bzurovski ,           Sergio Fogel ","dLocal is a cross-border payments technology platform designed to handle mass online payments in emerging markets across LATAM, APAC and EMEA. 
"
53,Ebanx,http://www.ebanx.com,Endeavor Brazil ,"          João Guilherme Del Valle ,           Wagner Alexis Ruiz ,           Alphonse Guilherme Voigt ","EBANX offers end-to-end payment solutions across the entire cross-border eCommerce transaction flow, providing global merchants expanding across LatAm with local payment options.
"
54,eFishery,https://efishery.com/en/home/,Endeavor Indonesia ,          Gibran Huzaifah ,"eFishery provides an IoT device and data platform to fish and shrimp farmers in Indonesia, enabling them to grow their business sustainably.
"
55,ELSA,https://vn.elsaspeak.com/en/homepage/,Endeavor Vietnam ,          Vu Van ,"ELSA is a mobile application for English pronunciation training.
"
56,Eon Dental,http://www.eonaligner.com/,Endeavor Jordan ,"          Qais Sabri ,           Yousef Nassar ","Eon Dental is a leading manufacturer and B2B distributor of clear dental aligners.
"
57,Everli,https://it.everli.com/it,Endeavor Italy ,,"Everli is an on-demand delivery service transforming the way people buy groceries and home essentials in Europe.
"
58,Everside Health,https://www.paladinahealth.com/,Endeavor Colorado ,          Chris Miller ,"Everside Health offers a comprehensive, customizable primary care model based on a physician-access approach to primary care, where treatment and billing take place directly between patient and provider, completely excluding the insurer. 
"
59,Eyewa,http://www.eyewa.com,Endeavor UAE ,"          Mehdi Oughiri ,           Anas Boumedien ","Eyewa is an eyewear eCommerce platform that sells color contacts, clear contacts, sunglasses, and eyeglasses from local and international brands.
"
60,Fever,https://feverup.com/en,Endeavor Spain ,"          Alexandre Pérez ,           Ignacio Bachiller ,           Francisco Hein ","Fever delivers a curated list of the most exciting events and things to do and see in your city. With the US as its largest market, the company has become the leading global tech-enabled entertainment discovery platform with a clear vision: to inspire and connect people through leisure and entertainment experiences.
"
61,FintechOS,https://fintechos.com/,Endeavor Romania ,"          Teodor Blidarus ,           Sergiu Negut  ","FintechOS offers its bank and insurance customers a digital overlay platform on top of their existing legacy infrastructure to enable them to design, build and manage next generation end-to-end capabilities. 
"
62,Firefly,https://www.fireflyon.com/,Endeavor Turkey ,"          Kaan Günay  ,           Onur Kardeşler  ","Firefly is a street-level digital media platform that connects audiences with dynamic media on taxis and rideshare vehicles. 
"
63,Flat.mx,http://flat.mx/,Endeavor Mexico ,"          Bernardo Cordero ,           Victor Noguera ","Flat.mx is a Mexican-based Proptech that aims to become the super app for real estate across Latin America. The company is creating an ecosystem, comprised of a full-fledged set of products and services.
"
64,Floward,https://floward.com/,"Endeavor Saudi Arabia , Endeavor UAE ","          Abdulaziz Al Loughani ,           Mohammed Alarifi ","Floward is an online flower and gifting company. Founded in 2017, the company’s mission is to “make sending flowers and gifts as enjoyable as receiving them”. 
"
65,Flutterwave,https://www.flutterwave.com/us/,Endeavor Nigeria ,"          Ife Orioke ,           Olugbenga ""GB"" Agboola ","Flutterwave provides seamless and secure payments solutions for global merchants and payment service providers across Africa. 
"
66,Foodology,https://www.foodology.com.co/,Endeavor Colombia ,"          Daniela Izquierdo ,           Juan Guillermo Azuero ","Foodology is disrupting the restaurant industry in LatAm by creating the leading operating platform to scale restaurant delivery brands across the region. 
"
67,Friday Health Plans,https://www.fridayhealthplans.com/,Endeavor Colorado ,"          Sal Gentile ,           David Pinkert ","Friday Health Plans is purpose-built for individuals and small businesses who buy their own health insurance, offering simplified and consumer-centric plans at a low cost.
"
68,Funding Societies,http://www.fundingsocieties.com,Endeavor Indonesia ,"          Iwan Kurniawan  ,           Kelvin Teo  ,           Kah Meng ","Funding Societies is a digital crowdfunding and financing platform for MSMEs in Southeast Asia. MSMEs can gain access to this capital without needing to put up collateral in a quick (1-10 days) and seamless way. 
"
69,Gigas,https://www.gigas.com/,Endeavor Spain ,"          Diego Cabezudo ,           Jose Antonio Arribas  ","Gigas offers powerful and advanced real time cloud hosting services with a very simple and intuitive control panel.
"
70,Glints,https://glints.com/,Endeavor Indonesia ,"          Ying Cong Seah ,           Oswald Yeo ","Glints is the #1 recruitment platform in Southeast Asia. The company provides a tech-enabled transaction-based skills and career development platform, which leverages data science to search and match candidates according to job requirements, enabling personalized local and cross-border matching at scale.

"
71,Globant,https://www.globant.com/,Endeavor Argentina ,"          Guibert Englebienne ,           Martin Migoya ,           Nestor Nocetti ,           Martin Umaran ","Leveraging the latest technologies and methodologies, Globant helps organizations transform digitally. Globant went public on the NYSE in 2014.
"
72,Glovo,https://glovoapp.com/,Endeavor Spain ,          Oscar Pierre  ,"Spain’s second unicorn, Glovo is an on-demand “deliver anything” app platform that delivers goods ranging from food to other urban conveniences, such as groceries and pharmaceuticals.
"
73,Go1,https://www.go1.com/,Endeavor South Africa ,"          Andrew Barnes ,           Melvyn Lubega ","Go1 allows companies to upskill their workforce with on-demand training and dynamic content-driven platform.
"
74,Great Deals E-Commerce,https://www.greatdealscorp.com/,Endeavor Philippines ,          Steve Sy ,"Great Deals E-Commerce is the Philippines’ leading e-commerce enabler. The company provides an end-to-end ecosystem, equipping global brands with in-depth tools and strategies to maximize their e-commerce efforts in the Filipino market.
"
75,Grinta,https://grinta.ai/,Endeavor Egypt ,          Mohamed Azab ,"Grinta is a managed marketplace that is modernizing the pharmaceutical supply chain by empowering independent pharmacies across Africa through AI & ML technologies.
"
76,GrowSari,https://growsari.com,Endeavor Philippines ,"          ER Rollan ,           Shiv Chodhury ","GrowSari is a tech-enabled B2B platform that helps the Philippines’ over one million mom & pop sari-sari stores get better service, larger assortments, and access to new services.
"
77,Grupo Trigo,http://www.spoleto.com.br,Endeavor Brazil ,"          Eduardo Ourivio ,           Mario Chady ","Grupo Trigo is the largest Brazilian fast-food group. It currently owns 4 chains: Spoleto – Italian food chain, Koni – Japanese food chain, Le Bon Ton – french food chain, and Gurumê – Japanese food casual restaurants. 
"
78,Gupy,http://www.gupy.com.br,Endeavor Brazil ,"          Mariana Dias ,           Robson Rodrigues ,           Bruna Guimarães ,           Guilherme Dias ","Gupy offers end-to-end recruitment, selection, and hiring compliance services within a single platform.
"
79,Gym+Coffee,https://gympluscoffee.com/,Endeavor Ireland ,"          Niall Horgan ,           Diarmuid McSweeney  ","Gym+Coffee is a direct to consumer athleisure brand that inspires people to enrich their lives through building a community around fitness and a healthy lifestyle.
"
80,Habi,https://habi.co/,Endeavor Colombia ,"          Brynne McNulty ,           Sebastian Noguera ","Habi is transforming LatAm’s traditionally opaque and inefficient residential ecosystem by providing liquidity and information to all key stakeholders – customers, brokers, banks and developers.
"
81,Havenly,https://havenly.com/,Endeavor Colorado ,          Lee Mayer ,"Havenly is the largest online interior design service and most delightful way to design home spaces, on any budget. Havenly’s network of professional, highly screened and trained interior designers create custom visual designs based on the client’s unique style choices. 
"
82,Hilab,http://www.hitechnologies.com.br,Endeavor Brazil ,"          Marcus Figueredo ,           Sérgio Rogal ","Hilab (formerly Hi Technologies) is a point of care diagnostics company in Brazil.
"
83,Holstein Milk Company,http://farmfresh.com.my,Endeavor Malaysia ,                    Tuan Ee Loi                    ,"The Holstein Milk Company manufactures premium grade dairy products under the Farm Fresh brand, and aims to reduce the country’s dependence on imported fresh milk. 
"
84,Hotmart,http://www.hotmart.com.br,Endeavor Brazil ,"          Mateus Bicalho ,           João Pedro Resende  ","Hotmart is a content distribution platform in Latin America.
"
85,Insider,http://useinsider.com,Endeavor Turkey ,"          Hande Cilingir ,           Sinan Toktay ,           Arda Köterin ,           Serhat Soyuerel ","Insider is a growth management platform operating in more than six global offices and offering individualized, cross-channel customer experiences.
"
86,Instabug,http://instabug.io/,Endeavor Egypt ,"          Omar Gabr ,           Moataz Soliman ","Instabug is a platform for mobile developers that help them communicate with their users, collaborate with their teams and build better quality apps.
"
87,InstaDeep,http://www.instadeep.com/,Endeavor Tunisia ,          Karim Beguir ,"InstaDeep is an AI company building predictive analytics solutions for enterprise clients, particularly in the biomedical, mobility and transportation spaces.
"
88,Interapt,http://www.interapt.com,Endeavor Louisville ,          Ankur Gopal ,"Interapt is a technology solutions provider of mobile and web application development, process automation, cloud engineering, data science and IT support services. 
"
89,isaac,https://www.olaisaac.com.br/,Endeavor Brazil ,          David Peixoto ,"Isaac is an all-in-one platform that offers schools a suite of services including payments, financial products, software, and communication tools to simplify school management.
"
90,JobandTalent,https://www.jobandtalent.com,Endeavor Spain ,"          Felipe Navío ,           Juan Urdiales ","JobandTalent (JaT) acts as a unique Workforce as a Service (WaaS) platform that offers both employers and employees all the services they need throughout the entire temporary contract duration.
"
91,JumpCloud,https://jumpcloud.com,Endeavor Colorado ,          Rajat Bhargava ,"JumpCloud is redefining the directory services industry by offering a unified IT platform that helps SMEs securely manage and control user access to any resource from any location and device.
"
92,Jüsto,https://justo.mx/home/,Endeavor Mexico ,"          Ricardo Weder ,           Ricardo Martinez ,           Alejandro Sisniega ","Jüsto is a vertically-integrated online grocery platform.
"
93,Kargo,https://kargo.tech/,Endeavor Indonesia ,          Tiger Fang ,"Kargo is a freight logistics marketplace covering the entire Indonesian archipelago. The company enables shippers, transporters, and truckers to connect, transact and track shipments in real-time on a platform, which they can access via the website and mobile app.
"
94,Kavak,http://www.kavak.com,Endeavor Mexico ,"          Loreanne Garcia ,           Roger Laughlin ,           Carlos Garcia ","Kavak transforms the experience of buying and selling second-hand vehicles in Latin America. In 2020, the company became Mexico’s first tech unicorn.
"
95,Kitopi,https://www.kitopi.com/,Endeavor UAE ,"          Mohamad Ballout ,            Saman Darkan ,            Andres Arenas ","Kitopi is a managed cloud kitchen platform. It allows restaurants to open delivery-only locations by providing the necessary infrastructure and software with minimal capital expenditures and time as well as taking care of the entire customer experience journey. In 2021, Kitopi became MENA’s third unicorn.

"
96,Klar,https://www.klar.mx/,Endeavor Mexico ,          Stefan Moller ,"Klar was founded in 2019 to lead the democratization of bank services in Mexico by offering an alternative to traditional credit cards and debit services. 
"
97,KLog.co,http://klog.co/,Endeavor Chile ,          Janan Knust ,"KLog.co is a digital freight-forwarder with offices in Chile, Bolivia, Peru, and Mexico, that seeks to democratize international freight and trade in LatAm.
"
98,Kobo360,https://www.kobo360.com/NG/en/,Endeavor Nigeria ,"          Ife Oyedele ,           Obi Ozor ","Kobo360 is a logistics platform that connects cargo owners to truck owners within minutes, handling the entire process from matching to payments, while providing financing, insurance and discounted supplies to truck owners. 
"
99,KOKO Networks,http://www.kokonetworks.com/,Endeavor Kenya ,"          Greg Murray ,           Sagun Saxena ","KOKO Networks delivers carbon-negative cooking fuel to the urban mass-market. Using hardware and software technologies, it provides low-cost clean bioethanol cooking fuel a short walk from users’ homes, undercutting demand for charcoal and improving the quality of life for low-income households. 
"
100,Komvida,https://komvida.com/,Endeavor Spain ,          Beatriz Margo ,"Komvida is the first and leading kombucha brand in Spain. Considered the healthy alternative to soft drinks, kombucha is a fermented probiotic drink that, amongst other health benefits, improves digestion and lowers blood pressure.
"
101,Kopi Kenangan,https://docs.google.com/spreadsheets/d/1Fmphe2cy549EN8DTOztf6fHIaZdzZlu1uigDsUfbcPI/www.finaccel.co,Endeavor Indonesia ,          Edward Tirtanata ,"Kopi Kenangan is Indonesia’s fastest-growing grab & go coffee chain.
"
102,Kovi,https://www.kovi.com.br/,Endeavor Brazil ,"          João Costa ,           Adhemar Milani ","Kovi rents vehicles to on-demand drivers who work for ride-hailing companies in Latin America. The company manages the fleet and optimizes gains by using technology, creating intelligence in asset management and ensuring the best use of time and vehicle by drivers. 
"
103,Kredivo,https://docs.google.com/spreadsheets/d/1Fmphe2cy549EN8DTOztf6fHIaZdzZlu1uigDsUfbcPI/www.finaccel.co,Endeavor Indonesia ,          Akshay Garg ,"Kredivo is the leading Buy Now-Pay Later digital credit platform in Indonesia that gives customers instant credit financing for eCommerce and offline retail purchases and personal loans, based on real-time decisioning. 
"
104,Kueski,http://kueski.com,Endeavor Mexico ,          Adalberto Flores ,"Kueski has built an online-only consumer lending platform specializing in micro-loans.
"
105,Kumu,http://www.kumu.ph,Endeavor Philippines ,"          Rexy Dorado ,           Roland Ros ","Kumu is a Filipino social platform that offers live streaming and mobile content.
"
106,La Haus,http://www.lahaus.com,Endeavor Colombia ,"          Rodrigo Sanchez-Rios ,           Santiago García ","La Haus optimizes the residential real estate sales process from listing to closing a property uses its technology platform.
"
107,Loft,https://www.loft.com.br/,Endeavor Brazil ,"          Mate Pencz ,           Florian Hagenbuch  ","Loft is a digital platform that uses technology to simplify the sale and purchase of real estate. Founded in 2018, the company became the fastest Brazilian startup to reach unicorn status in 2020.
"
108,MadeiraMadeira,https://www.madeiramadeira.com.br/,Endeavor Brazil ,"          Daniel Scandian ,           Marcelo Scandian ,           Robson Privado  ","MadeiraMadeira is an online marketplace that specializes in home products. 2021’s first Brazilian unicorn, the company makes international household trends both financially and logistically accessible using a cost-effective drop-shipping model. 
"
109,Mapan (Ruma),https://www.linkedin.com/in/aldi-haryopratomo-434455/,Endeavor Indonesia ,          Aldi Haryopratomo ,"Mapan (formerly known as Ruma) was a community-based savings and lending network that was acquired by Go-Jek in 2017. Mapan’s founder Aldi became CEO of Go-Pay until January 2021.
"
110,MaxAB,http://www.maxab.io,Endeavor Egypt ,"          Mohamed Ben Halim ,           Belal El-Megharbel ","MaxAB is a B2B e-commerce marketplace that connects Egypt’s underserved “mom and pop” retailers to FMCG companies with a complete solution across the logistics supply chain.
"
111,Meliuz,http://www.meliuz.com.br,Endeavor Brazil ,"           Ofli Campos ,           Israel Salmen ,           Lucas Marques ","Meliuz is a “cash back” marketplace where consumers can earn money while shopping at their favorite stores. The company went public on B3 in November 2020.
"
112,Mercado Bitcoin,https://www.mercadobitcoin.com.br/en/,Endeavor Brazil ,"          Roberto Dagnoni ,           Reinaldo Rabelo ,           Gustavo Chamati ,           Mauricio Chamati ","Mercado Bitcoin is the largest Digital Assets Exchange in Latin America and among the 25 most trusted exchanges in the world.
"
113,MercadoLibre.com,https://www.mercadolibre.com/,Endeavor Argentina ,          Marcos Galperin  ,"MercadoLibre is an online marketplace and e-commerce payments platform. The company is Latin America’s first unicorn and is publicly traded on NASDAQ.
"
114,Merqueo,https://merqueo.com/,Endeavor Colombia ,          Miguel McAllister ,"Merqueo is an online supermarket that works directly with suppliers to purchase goods and holds its own inventory.
"
115,MFS Africa,http://mfsafrica.com/,Endeavor South Africa ,          Dare Okoudjou ,"MFS Africa is the continent’s largest digital payments hub – connecting more than 200 million mobile wallets on the continent through one API. 
"
116,Momentis Surgical™,https://www.momentissurgical.com/,Endeavor Miami ,          Dvir Cohen ,"Momentis Surgical has developed a transformative surgical robotics platform. The Anovo™ surgical system is the only surgical robotic platform that includes miniature humanoid-shaped robotic arms that can be used for transvaginal procedures.
"
117,Movile,http://www.movile.com,Endeavor Brazil ,          Fabricio Bloisi ,"Movile is an app developer that operates in online-to-offline segments, including food ordering and delivery, ticketing, and logistics in US and Latin America. Majority owned by Naspers, the company became a unicorn in 2018. 
"
118,MRSOOL,https://mrsool.co/,Endeavor Saudi Arabia ,"          Ayman Alsanad ,           Naif Alsamary ","MRSOOL is a Saudi Arabian logistics platform that pioneered the on-demand service fulfillment model in the region by establishing a customer-to-customer network.
"
119,Mumzworld,https://www.mumzworld.com,Endeavor UAE ,          Mona Ataya ,"Mumzworld is an e-commerce retailer in the region focused exclusively on products for expecting mothers and their babies, infants, and young children. Mumzworld was acquired by the Tamer Group in 2021.
"
120,Mural,https://www.mural.co/,Endeavor Argentina ,"          Mariano Suarez Battan ,           Patricio Jutard  ","MURAL is the leading digital workspace for visual collaboration in the enterprise.
"
121,Nearpod,https://nearpod.com,Endeavor Miami ,"          Felipe Sommer ,           Guido Kovalskys ,           Emiliano Abramzon ","Nearpod offers an interactive, instructional platform that merges formative assessment and dynamic media for live and self-paced learning experiences. Nearpod was acquired by Renaissance Learning in February 2021.
"
122,Nelogica,https://www.nelogica.com.br/,Endeavor Brazil ,"          Fabiano Schommer Kerber ,           Marcos Boschetti  ","Nelogica is an equity trading technology company in Brazil.
"
123,Neon,https://neon.com.br/,Endeavor Brazil ,          Pedro Conrade  ,"Neon is a mobile-first digital challenger bank focused exclusively on the Brazilian market. Neon offers banking services, savings products (personal financial management tools), and credit cards & loans to individuals and small businesses.
"
124,Nice One,https://niceonesa.com,Endeavor Saudi Arabia ,"          Omar Al Olayan ,           Abdulrahman Alolayan  ","Nice One is the first and largest e-commerce platform for cosmetics in Saudi Arabia. 
"
125,NotCo,http://www.notco.com/,Endeavor Chile ,"          Karim Pichara ,           Matias Muchnick ","NotCo creates plant-based versions of animal products. 
"
126,Nowports,https://nowports.com/,Endeavor Mexico ,"          Alfonso de los Ríos ,           Maximiliano Casal ","Nowports is a digital freight forwarder that helps companies improve their import and exporting process. It serves as a platform through which companies have visibility and real time notifications of their operations.
"
127,Nuvocargo,https://www.nuvocargo.com/en,Endeavor Mexico ,"          Deepak Chhugani ,           Sam Blackman ","Nuvocargo is an all-in-one digital platform for cross border trade across the Americas, starting with trade between the USA and Mexico.
"
